Week,Sales,Profit,TotalQuantity,NumOrders,NumCustomers
2015-01-19,358.522,1.2304,15,3,3
2015-01-26,10314.516,-1628.1445,56,7,7
2015-02-02,3378.582,532.9465,71,12,12
2015-02-09,3545.134,691.9848999999999,78,9,9
2015-02-16,3253.514,1498.5931,40,9,9
2015-02-23,3416.3554,103.0445,73,11,11
2015-03-02,7794.917,1138.6154999999999,115,15,15
2015-03-09,2729.488,656.1133,57,11,11
2015-03-16,18231.9866,6501.0801,179,24,24
2015-03-23,7555.746,1455.6816000000001,116,20,20
2015-03-30,5529.816,72.727,124,15,15
2015-04-06,3344.06,-507.49609999999996,89,14,14
2015-04-13,12471.884,1116.133,192,23,23
2015-04-20,5277.7735,751.6965,86,15,15
2015-04-27,11160.547,3060.8594,149,17,17
2015-05-04,5612.204,1227.5626,81,14,14
2015-05-11,5092.2455,524.2195,124,15,15
2015-05-18,6030.097,575.6324,90,11,11
2015-05-25,10580.208,2001.92,208,26,25
2015-06-01,3619.474,939.7189999999999,81,10,10
2015-06-08,6608.238,157.60370000000003,161,18,18
2015-06-15,7445.001,1892.2549000000001,115,19,19
2015-06-22,6691.653,258.7841000000001,121,17,17
2015-06-29,4148.744,521.9272,103,18,18
2015-07-06,7025.851,1119.2378,172,17,17
2015-07-13,7046.083,501.06759999999997,101,14,14
2015-07-20,6791.639,487.48940000000005,137,14,14
2015-07-27,6488.108,536.4505,78,11,11
2015-08-03,7254.2192000000005,1506.3377,139,17,16
2015-08-10,5511.004,300.8831,118,16,16
2015-08-17,4478.07,236.6575,136,11,11
2015-08-24,14751.068000000001,3101.1345,145,16,14
2015-08-31,9855.3,1877.6136999999999,187,30,29
2015-09-07,10543.759,1558.75,232,30,29
2015-09-14,23615.147999999997,148.99729999999988,296,35,35
2015-09-21,22125.144,4756.9964,372,45,45
2015-09-28,4266.842,791.5158,142,23,22
2015-10-05,6466.8365,-200.08890000000002,111,19,18
2015-10-12,7263.316,144.55269999999996,105,14,14
2015-10-19,7389.157,1090.1322,156,21,20
2015-10-26,10183.242,2200.5829000000003,185,21,21
2015-11-02,24445.822,4292.4776,292,36,35
2015-11-09,16633.3232,3301.6077,301,35,34
2015-11-16,16088.327800000001,1282.4786,336,41,41
2015-11-23,13900.5875,2603.5079,281,31,31
2015-11-30,23046.274,1885.8346999999999,388,49,48
2015-12-07,11188.56,1999.7531000000001,278,37,37
2015-12-14,16439.98,121.58890000000001,226,36,35
2015-12-21,21324.8602,3150.3831,303,38,36
2015-12-28,7219.994,1424.0932,99,13,13
2016-01-04,4185.6539999999995,864.0015000000001,82,11,11
2016-01-11,2399.479,477.5165,74,10,10
2016-01-18,3848.346,583.5005,89,11,11
2016-01-25,5607.262,407.77780000000007,87,12,12
2016-02-01,14111.864000000001,3850.7063,116,15,15
2016-02-08,3912.017,465.1171,52,8,8
2016-02-15,3475.992,338.7278,91,13,11
2016-02-22,1367.838,341.69550000000004,40,8,8
2016-02-29,14950.429,1682.7013000000002,120,16,15
2016-03-07,22184.762,963.2196,209,28,28
2016-03-14,7515.183,826.4730999999999,124,22,22
2016-03-21,3739.864,144.6544,66,13,13
2016-03-28,7494.319,934.1304,153,19,18
2016-04-04,10254.047,-403.94159999999994,176,26,26
2016-04-11,14973.249,2788.5888,143,21,21
2016-04-18,8293.219,-405.5054,194,22,22
2016-04-25,1689.8120000000001,-7.447499999999991,49,11,11
2016-05-02,11311.609,1724.4648,181,24,23
2016-05-09,4076.232,577.7994,143,23,23
2016-05-16,9920.937,1404.4264,187,24,23
2016-05-23,22631.647,3203.0328999999997,209,23,23
2016-05-30,11734.712,1940.9014,219,22,22
2016-06-06,13764.721,1588.4089,244,28,28
2016-06-13,7768.278,921.5452,133,23,23
2016-06-20,12405.568000000001,1564.1806,221,28,28
2016-06-27,6545.554,1388.7785,112,18,18
2016-07-04,9619.225,1262.1268,151,18,18
2016-07-11,5720.97,987.8412,193,22,21
2016-07-18,7858.956,1078.4194,188,24,24
2016-07-25,12717.95,278.7195,169,22,22
2016-08-01,3051.37,540.7666,82,13,13
2016-08-08,7535.5505,243.132,146,21,21
2016-08-15,7658.496,522.3928,151,20,20
2016-08-22,10556.9318,1132.9209,241,29,29
2016-08-29,21769.009,2978.4641,358,40,39
2016-09-05,19714.7696,1870.7694000000001,347,52,51
2016-09-12,14877.136,3028.0247,229,34,34
2016-09-19,12738.172,1341.3989,328,48,48
2016-09-26,25858.350300000002,8428.865099999999,182,33,32
2016-10-03,10506.046,1928.7557000000002,132,22,22
2016-10-10,7064.655000000001,929.7342000000001,191,16,16
2016-10-17,12814.734,3266.6879,198,29,28
2016-10-24,6317.425,971.6309,157,25,24
2016-10-31,16935.6418,1361.589,313,38,36
2016-11-07,22812.184,3611.2514,395,50,47
2016-11-14,12766.911,2133.8739,280,43,43
2016-11-21,25948.622,-2765.0225,381,49,47
2016-11-28,22963.279,3977.9949,322,37,37
2016-12-05,25271.818,4419.2521,462,48,45
2016-12-12,26505.97,6287.3335,272,35,33
2016-12-19,21384.952,2740.4683,265,32,31
2016-12-26,7053.958,398.8915,220,36,36
2017-01-02,8472.136,1351.8405,79,10,10
2017-01-09,8938.659,-617.5922,137,14,14
2017-01-16,15770.86,4887.2091,147,16,16
2017-01-23,5558.556,1391.9485,126,19,19
2017-01-30,7880.698,778.0673,125,15,15
2017-02-06,3146.737,-49.427600000000005,62,13,13
2017-02-13,6962.6053999999995,576.222,113,16,16
2017-02-20,6042.808,609.2302,112,14,14
2017-02-27,4936.692,1226.9809,124,18,18
2017-03-06,6078.67,794.4667000000001,140,22,22
2017-03-13,10592.099,1024.5583,266,28,28
2017-03-20,27125.476,9481.3064,201,31,31
2017-03-27,16952.9938,2991.6424,233,30,30
2017-04-03,10955.3485,2510.9824,115,18,17
2017-04-10,4420.516,587.8252,162,30,30
2017-04-17,8866.177,-3059.8464000000004,199,24,24
2017-04-24,5483.536599999999,135.4898,181,34,34
2017-05-01,13201.1918,479.81550000000004,225,29,28
2017-05-08,13405.069,2940.1731,237,29,29
2017-05-15,10927.576,1949.6163000000001,222,26,25
2017-05-22,5299.275,787.3883,158,25,24
2017-05-29,9853.5164,1970.5128,213,30,30
2017-06-05,7782.87,660.1756,168,27,26
2017-06-12,14545.5175,2960.0247999999997,207,29,28
2017-06-19,7114.8099999999995,752.5193,194,29,28
2017-06-26,15922.0322,2220.9733,212,29,28
2017-07-03,13091.864,2183.1325,257,33,30
2017-07-10,8644.263,748.501,152,19,19
2017-07-17,11722.321,1120.4860999999999,237,30,28
2017-07-24,9438.918,2280.4897,138,20,20
2017-07-31,6122.798,936.2577,150,27,26
2017-08-07,12347.668,1280.7235,216,20,19
2017-08-14,20272.34,2697.6813,207,28,28
2017-08-21,21094.18,3577.357,246,29,29
2017-08-28,17054.443,4153.8933,298,41,40
2017-09-04,18582.845,-185.6940000000001,422,63,61
2017-09-11,23552.725,4097.9818,403,49,46
2017-09-18,27575.668999999998,3194.6045,447,58,57
2017-09-25,8921.366,1757.5106,257,35,35
2017-10-02,19484.316,2046.5126,296,36,35
2017-10-09,16929.375,2765.9529,239,33,33
2017-10-16,27411.7552,2612.2690000000002,254,40,39
2017-10-23,6423.353,276.5073,179,23,23
2017-10-30,31325.571,-937.6100000000001,437,55,55
2017-11-06,20571.872,2181.3193,416,64,60
2017-11-13,35344.423,4716.8294,485,70,65
2017-11-20,20087.249,3201.0013,410,57,55
2017-11-27,32354.57,2081.8161,564,62,59
2017-12-04,24006.958,1099.1676000000002,480,62,61
2017-12-11,10495.963,758.9628,267,37,35
2017-12-18,23662.364,4245.4893,372,52,49
2017-12-25,8977.8318,1387.4354,233,35,33
