Date,Sales,Profit,TotalQuantity,NumOrders,NumCustomers,NumProducts,AvgOrderValue,Year,Month,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,IsWeekend,DayName,MonthName,DayOfYear,Sales_Lag1,Sales_Lag7,Sales_Lag14,Sales_Lag30,Sales_RollingMean7,Sales_RollingStd7,Sales_RollingMin7,Sales_RollingMax7,Sales_RollingMean14,Sales_RollingStd14,Sales_RollingMin14,Sales_RollingMax14,Sales_RollingMean30,Sales_RollingStd30,Sales_RollingMin30,Sales_RollingMax30,Sales_ExpandingMean,Sales_PctChange,Trend,Sin_DayOfYear,Cos_DayOfYear,Sin_DayOfWeek,Cos_DayOfWeek
2014-01-13,3553.795,673.6386,48,4,4,11,323.0722727272727,2014,1,0,13,3,1,0,Monday,January,13,0.0,4407.1,,,535.181,1331.4699551058845,0.0,3553.795,,,,,,,,,770.6737272727273,0.0,10,0.22177215755648186,0.975098513039961,0.0,1.0
2014-01-14,61.96,-53.2856,4,1,1,1,61.96,2014,1,1,14,3,1,0,Tuesday,January,14,3553.795,87.15799999999999,,,531.5812857142857,1332.9163670194157,0.0,3553.795,,,,,,,,,711.6142500000001,-0.9825651170087188,11,0.23851257519407648,0.9711394088771653,0.7818314824680298,0.6234898018587336
2014-01-15,149.95,65.978,5,1,1,1,149.95,2014,1,2,15,3,1,0,Wednesday,January,15,61.96,0.0,,,553.0027142857143,1324.1253641875849,0.0,3553.795,,,,,,,,,668.4093076923077,1.420109748224661,12,0.2551824131233728,0.9668929289391521,0.9749279121818236,-0.22252093395631434
2014-01-16,299.964,-5.933499999999999,14,1,1,4,74.991,2014,1,3,16,3,1,0,Thursday,January,16,149.95,40.544,,,590.0627142857144,1310.9569299046038,0.0,3553.795,642.0917857142857,1427.5401629935739,0.0,4407.1,,,,,642.0917857142857,1.0004268089363122,13,0.2717767384711357,0.9623603298276545,0.43388373911755823,-0.900968867902419
2014-01-17,0.0,0.0,0,0,0,0,0.0,2014,1,4,17,3,1,0,Friday,January,17,299.964,54.83,16.448,,582.2298571428572,1314.8459291986048,0.0,3553.795,640.9169285714286,1428.1013299295441,0.0,4407.1,,,,,599.2856666666667,-1.0,14,0.2882906407095177,0.9575429528116719,-0.433883739117558,-0.9009688679024191
2014-01-18,64.864,6.4864,4,1,1,1,64.864,2014,1,5,18,3,1,1,Saturday,January,18,0.0,9.94,288.06,,590.0761428571429,1311.019940436507,0.0,3553.795,624.9743571428572,1433.5787643679398,0.0,4407.1,,,,,565.8843125000001,0.0,15,0.3047192331091634,0.9524422234305676,-0.9749279121818236,-0.2225209339563146
2014-01-19,378.594,-287.9976,24,1,1,4,94.6485,2014,1,6,19,3,1,1,Sunday,January,19,64.864,0.0,19.536,,644.1610000000001,1290.264723826471,0.0,3553.795,650.6213571428572,1425.1009106771571,0.0,4407.1,,,,,554.8672352941177,4.836735323137641,16,0.321057654185271,0.9470596510722283,-0.7818314824680299,0.6234898018587334
2014-01-20,2673.87,584.3695,58,4,4,16,157.2864705882353,2014,1,0,20,4,1,0,Monday,January,20,378.594,3553.795,4407.1,,518.4574285714285,960.1941853033089,0.0,2673.87,526.8192142857143,1115.2678036957468,0.0,3553.795,,,,,672.5896111111111,6.062631737428485,17,0.3373010691361842,0.9413968285264122,0.0,1.0
2014-01-21,25.248,4.1028,3,1,1,1,25.248,2014,1,1,21,4,1,0,Tuesday,January,21,2673.87,61.96,87.15799999999999,,513.2128571428572,963.1986936223537,0.0,2673.87,522.3970714285714,1117.266151277405,0.0,3553.795,,,,,638.519,-0.990557506535471,18,0.3534446712740877,0.9354554315134164,0.7818314824680298,0.6234898018587336
2014-01-22,0.0,0.0,0,0,0,0,0.0,2014,1,2,22,4,1,0,Wednesday,January,22,25.248,149.95,0.0,,491.7914285714286,974.228389591622,0.0,2673.87,522.3970714285714,1117.266151277405,0.0,3553.795,,,,,606.5930500000001,-1.0,19,0.3694836834473831,0.9292372181882051,0.9749279121818236,-0.22252093395631434
2014-01-23,46.019999999999996,19.2384,9,2,2,2,23.009999999999998,2014,1,3,23,4,1,0,Thursday,January,23,0.0,299.964,40.544,,455.5137142857143,987.2037637370365,0.0,2673.87,522.7882142857143,1117.0854273548834,0.0,3553.795,,,,,579.8990952380952,0.0,20,0.38541335945432564,0.9227440286201427,0.43388373911755823,-0.900968867902419
2014-01-24,0.0,0.0,0,0,0,0,0.0,2014,1,4,24,4,1,0,Friday,January,24,46.019999999999996,0.0,54.83,,455.51371428571423,987.2037637370365,0.0,2673.87,518.8717857142857,1118.9468250585649,0.0,3553.795,,,,,553.5400454545454,-1.0,21,0.4012289854475009,0.9159777842484877,-0.433883739117558,-0.9009688679024191
2014-01-25,0.0,0.0,0,0,0,0,0.0,2014,1,5,25,4,1,1,Saturday,January,25,0.0,64.864,9.94,,446.24742857142854,991.7755225766992,0.0,2673.87,518.1617857142858,1119.297694473993,0.0,3553.795,,,,,529.4730869565217,,22,0.4169258813287287,0.908940487313808,-0.9749279121818236,-0.2225209339563146
2014-01-26,1097.25,150.327,38,2,2,9,121.91666666666667,2014,1,6,26,4,1,1,Sunday,January,26,0.0,378.594,0.0,,548.9125714285714,1020.3886974904635,0.0,2673.87,596.5367857142857,1118.6396212884356,0.0,3553.795,,,,,553.1304583333334,0.0,23,0.4324994021339788,0.901634220265486,-0.7818314824680299,0.6234898018587334
2014-01-27,426.67,9.6827,8,1,1,3,142.22333333333333,2014,1,0,27,5,1,0,Monday,January,27,1097.25,2673.87,3553.795,,227.88400000000001,413.36874803497074,0.0,1097.25,373.1707142857143,726.0321450250009,0.0,2673.87,,,,,548.07204,-0.6111460469355205,24,0.44794493940789115,0.8940611451454876,0.0,1.0
2014-01-28,3.928,1.3257,1,1,1,1,3.928,2014,1,1,28,5,1,0,Tuesday,January,28,426.67,25.248,61.96,,224.83828571428572,415.18516710889037,0.0,1097.25,369.0255714285714,728.1083132316459,0.0,2673.87,,,,,527.1434230769231,-0.9907938219232663,25,0.4632579225674917,0.88622350294858,0.7818314824680298,0.6234898018587336
2014-01-29,0.0,0.0,0,0,0,0,0.0,2014,1,2,29,5,1,0,Wednesday,January,29,3.928,0.0,149.95,,224.83828571428572,415.18516710889037,0.0,1097.25,358.3148571428571,732.6675182627944,0.0,2673.87,,,,,507.61959259259265,-1.0,26,0.4784338202547012,0.8781236129591848,0.9749279121818236,-0.22252093395631434
2014-01-30,240.5,11.6502,4,1,1,2,120.25,2014,1,3,30,5,1,0,Thursday,January,30,0.0,46.019999999999996,299.964,,252.62114285714284,407.6637580684299,0.0,1097.25,354.06742857142854,733.203977761432,0.0,2673.87,,,,,498.0796071428572,0.0,27,0.49346814167723735,0.8697638720650646,0.43388373911755823,-0.900968867902419
2014-01-31,290.666,3.4196,2,1,1,1,290.666,2014,1,4,31,5,1,0,Friday,January,31,240.5,0.0,0.0,,294.1448571428572,392.15194233333676,0.0,1097.25,374.8292857142857,726.4913668960749,0.0,2673.87,,,,,490.9274137931035,0.20859043659043652,28,0.5083564379375122,0.8611467540480452,-0.433883739117558,-0.9009688679024191
2014-02-01,468.9,206.316,6,1,1,1,468.9,2014,2,5,1,5,1,1,Saturday,February,32,290.666,0.0,64.864,,361.1305714285714,373.11915808887585,0.0,1097.25,403.68899999999996,721.237005625431,0.0,2673.87,490.1931666666667,1084.4302342752217,0.0,4407.1,490.1931666666667,0.6131917733756269,29,0.5230943033491326,0.8522748088519838,-0.9749279121818236,-0.2225209339563146
2014-02-02,211.64600000000002,7.152499999999999,12,2,2,3,70.54866666666668,2014,2,6,2,5,1,1,Sunday,February,33,468.9,1097.25,378.594,16.448,234.6157142857143,184.2729846484211,0.0,468.9,391.7641428571429,723.0616827320905,0.0,2673.87,496.6997666666667,1082.0727718390415,0.0,4407.1,481.2077741935484,-0.5486329707826828,30,0.5376773767406141,0.8431506618282,-0.7818314824680299,0.6234898018587334
2014-02-03,97.11200000000001,31.5614,5,1,1,2,48.556000000000004,2014,2,0,3,6,1,0,Monday,February,34,211.64600000000002,426.67,2673.87,288.06,187.536,168.4468875382756,0.0,468.9,207.71,303.97195195812145,0.0,1097.25,490.33483333333334,1083.902392266213,0.0,4407.1,469.20478125,-0.5411583493191461,31,0.5521013427459208,0.8337770129585915,0.0,1.0
2014-02-04,134.38400000000001,51.1432,9,2,2,3,44.79466666666667,2014,2,1,4,6,1,0,Tuesday,February,35,97.11200000000001,3.928,25.248,19.536,206.17257142857144,151.06737371435145,0.0,468.9,215.50542857142858,300.3100804480679,0.0,1097.25,494.1631,1082.3839791032904,0.0,4407.1,459.05869696969694,0.38380426723782857,32,0.5663619330814524,0.8241566360566663,0.7818314824680298,0.6234898018587336
2014-02-05,0.0,0.0,0,0,0,0,0.0,2014,2,2,5,6,1,0,Wednesday,February,36,134.38400000000001,0.0,0.0,4407.1,206.17257142857144,151.06737371435145,0.0,468.9,215.50542857142858,300.3100804480679,0.0,1097.25,347.2597666666667,793.5255590706091,0.0,3553.795,445.5569705882353,-1.0,33,0.580454927809098,0.8142923779467267,0.9749279121818236,-0.22252093395631434
2014-02-06,330.512,76.4833,12,2,2,4,82.628,2014,2,3,6,6,1,0,Thursday,February,37,0.0,240.5,46.019999999999996,87.15799999999999,219.03142857142856,158.14159167325818,0.0,468.9,235.82628571428572,297.5722222777127,0.0,1097.25,355.3715666666667,792.0173956148498,0.0,3553.795,442.26997142857147,0.0,34,0.5943761565849831,0.804187157621448,0.43388373911755823,-0.900968867902419
2014-02-07,180.32,59.3488,11,2,2,2,90.16,2014,2,4,7,6,1,0,Friday,February,38,330.512,290.666,0.0,0.0,203.26771428571433,155.2847804108221,0.0,468.9,248.7062857142857,290.39553215556157,0.0,1097.25,361.3822333333334,789.9088849883663,0.0,3553.795,434.99358333333333,-0.45442222975262625,35,0.6081214998935418,0.7938439653781019,-0.433883739117558,-0.9009688679024191
2014-02-08,14.56,5.5328,2,1,1,1,14.56,2014,2,5,8,6,1,1,Saturday,February,39,180.32,468.9,0.0,40.544,138.362,115.64385424799914,0.0,330.512,249.7462857142857,289.46088754080716,0.0,1097.25,360.5161,790.2869695915722,0.0,3553.795,423.6305135135135,-0.9192546583850931,36,0.6216868902665479,0.7832658619336791,-0.9749279121818236,-0.2225209339563146
2014-02-09,0.0,0.0,0,0,0,0,0.0,2014,2,6,9,6,1,1,Sunday,February,40,14.56,211.64600000000002,1097.25,54.83,108.12685714285713,120.84105089941632,0.0,330.512,171.3712857142857,163.46078408946468,0.0,468.9,358.68843333333336,791.0812982011166,0.0,3553.795,412.48234210526317,-1.0,37,0.6350683134867438,0.7724559775191742,-0.7818314824680299,0.6234898018587334
2014-02-10,0.0,0.0,0,0,0,0,0.0,2014,2,0,10,7,1,0,Monday,February,41,0.0,97.11200000000001,426.67,9.94,94.25371428571428,127.6963840544068,0.0,330.512,140.89485714285715,151.54077121602288,0.0,468.9,358.3571,791.2344702304439,0.0,3553.795,401.9058717948718,,38,0.6482618097757122,0.7614175109532997,0.0,1.0
2014-02-11,2043.4,293.5285,25,2,2,9,227.04444444444445,2014,2,1,11,7,1,0,Tuesday,February,42,0.0,134.38400000000001,3.928,0.0,366.9702857142857,749.9754111484172,0.0,2043.4,286.57142857142856,526.3957621693035,0.0,2043.4,426.47043333333335,845.4191900029351,0.0,3553.795,442.943225,0.0,39,0.6612634749656386,0.7501537286959042,0.7818314824680298,0.6234898018587336
2014-02-12,129.568,-24.294,2,1,1,1,129.568,2014,2,2,12,7,1,0,Wednesday,February,43,2043.4,0.0,0.0,3553.795,385.48,740.9535626438852,0.0,2043.4,295.82628571428575,522.0912268623952,0.0,2043.4,312.32953333333336,605.8457285136678,0.0,2673.87,435.2999268292684,-0.9365919545854947,40,0.6740694616546161,0.7386679638813748,0.9749279121818236,-0.22252093395631434
2014-02-13,0.0,0.0,0,0,0,0,0.0,2014,2,3,13,7,1,0,Thursday,February,44,129.568,330.512,240.5,61.96,338.264,755.4293466579117,0.0,2043.4,278.6477142857143,527.9751586643836,0.0,2043.4,310.26419999999996,606.8334777579597,0.0,2673.87,424.9356428571429,-1.0,41,0.6866759803451553,0.726963615332308,0.43388373911755823,-0.900968867902419
2014-02-14,576.726,120.1764,10,2,2,4,144.1815,2014,2,4,14,7,1,0,Friday,February,45,0.0,180.32,290.666,149.95,394.89342857142856,756.4732381031631,0.0,2043.4,299.08057142857143,533.9772530646013,0.0,2043.4,324.4900666666667,607.9470601887411,0.0,2673.87,428.4656511627907,0.0,42,0.6990793005655562,0.7150441465537444,-0.433883739117558,-0.9009688679024191
2014-02-15,21.36,7.209,5,1,1,1,21.36,2014,2,5,15,7,1,1,Saturday,February,46,576.726,14.56,468.9,299.964,395.86485714285715,755.9075846793766,0.0,2043.4,267.1134285714286,536.4194462886027,0.0,2043.4,315.20326666666665,610.4573802942505,0.0,2673.87,419.21325,-0.9629633482797724,43,0.7112757519738152,0.7029130847082615,-0.9749279121818236,-0.2225209339563146
2014-02-16,9.04,-15.658,5,1,1,2,4.52,2014,2,6,16,7,1,1,Sunday,February,47,21.36,0.0,211.64600000000002,0.0,397.15628571428573,755.1258691904089,0.0,2043.4,252.64157142857147,540.7465540591811,0.0,2043.4,315.50460000000004,610.2986353220061,0.0,2673.87,410.0982888888889,-0.5767790262172285,44,0.7232617254437388,0.6905740195722293,-0.7818314824680299,0.6234898018587334
2014-02-17,54.208,8.8088,14,1,1,1,54.208,2014,2,0,17,8,1,0,Monday,February,48,9.04,0.0,97.11200000000001,64.864,404.90028571428576,750.638738515786,0.0,2043.4,249.577,541.8163055698715,0.0,2043.4,315.1494,610.4526224038725,0.0,2673.87,402.3615434782609,4.9964601769911505,45,0.7350336741329413,0.6780306024735382,0.0,1.0
2014-02-18,37.784,-13.846799999999998,7,2,2,2,18.892,2014,2,1,18,8,1,0,Tuesday,February,49,54.208,2043.4,134.38400000000001,378.594,118.38371428571425,206.64056078265622,0.0,576.726,242.677,544.0067960801448,0.0,2043.4,303.78906666666666,612.3993050075409,0.0,2673.87,394.6045744680851,-0.3029811097992916,46,0.746588114532413,0.6652865452111116,0.7818314824680298,0.6234898018587336
2014-02-19,0.0,0.0,0,0,0,0,0.0,2014,2,2,19,8,1,0,Wednesday,February,50,37.784,129.568,0.0,2673.87,99.87399999999995,211.22392425417286,0.0,576.726,242.677,544.0067960801448,0.0,2043.4,214.6600666666667,419.8784373208863,0.0,2043.4,386.38364583333333,-1.0,47,0.7579216274973472,0.6523456189565257,0.9749279121818236,-0.22252093395631434
2014-02-20,95.59,35.5612,9,2,2,3,31.863333333333333,2014,2,3,20,8,1,0,Thursday,February,51,0.0,0.0,330.512,25.248,113.52971428571425,206.73310657117943,0.0,576.726,225.89685714285716,544.711758496865,0.0,2043.4,217.00480000000002,418.97967106592404,0.0,2043.4,380.4490816326531,0.0,48,0.7690308592589181,0.6392116531380588,0.43388373911755823,-0.900968867902419
2014-02-21,8.85,-13.7175,5,1,1,1,8.85,2014,2,4,21,8,1,0,Friday,February,52,95.59,576.726,180.32,0.0,32.404571428571394,33.58939806374835,0.0,95.59,213.64900000000003,547.7347509520107,0.0,2043.4,217.29980000000003,418.8246981247268,0.0,2043.4,373.01709999999997,-0.9074170938382676,49,0.7799125224167177,0.6258885343075018,-0.433883739117558,-0.9009688679024191
2014-02-22,19.44,9.3312,3,1,1,1,19.44,2014,2,5,22,8,1,1,Saturday,February,53,8.85,21.36,14.56,46.019999999999996,32.13028571428568,33.70226723190378,0.0,95.59,213.99757142857146,547.5998434382976,0.0,2043.4,216.41379999999998,419.2274457037236,0.0,2043.4,366.08421568627455,1.1966101694915259,50,0.7905633969115482,0.612380204990065,-0.9749279121818236,-0.2225209339563146
2014-02-23,11.364,-4.522500000000001,6,1,1,2,5.682,2014,2,6,23,8,1,1,Sunday,February,54,19.44,9.04,0.0,0.0,32.46228571428568,33.447378221678136,0.0,95.59,214.80928571428575,547.2665522892179,0.0,2043.4,216.79260000000002,419.030246158469,0.0,2043.4,359.2626730769231,-0.4154320987654321,51,0.8009803309782905,0.5986906625177214,-0.7818314824680299,0.6234898018587334
2014-02-24,55.672,18.789299999999997,7,1,1,2,27.836,2014,2,0,24,9,1,0,Monday,February,55,11.364,54.208,0.0,0.0,32.671428571428535,33.610194935737496,0.0,95.59,218.78585714285717,545.7858901902348,0.0,2043.4,218.64833333333334,418.1594141083886,0.0,2043.4,353.53454716981133,3.898979232664554,52,0.8111602420785621,0.5848239578463322,0.0,1.0
2014-02-25,0.0,0.0,0,0,0,0,0.0,2014,2,1,25,9,1,0,Tuesday,February,56,55.672,37.784,2043.4,1097.25,27.273714285714252,35.62585167034359,0.0,95.59,72.82871428571428,150.09503357664218,0.0,576.726,182.07333333333332,385.3612661881842,0.0,2043.4,346.98761111111116,-1.0,53,0.8211001178128892,0.5707841943569036,0.7818314824680298,0.6234898018587336
2014-02-26,0.0,0.0,0,0,0,0,0.0,2014,2,2,26,9,1,0,Wednesday,February,57,0.0,0.0,129.568,426.67,27.273714285714252,35.62585167034359,0.0,95.59,63.57385714285714,150.32178052628674,0.0,576.726,167.851,383.89342923435134,0.0,2043.4,340.6787454545455,,54,0.8307970168121247,0.5565755266413303,0.9749279121818236,-0.22252093395631434
2014-02-27,19.456,3.4048,4,1,1,1,19.456,2014,2,3,27,9,1,0,Thursday,February,58,0.0,95.59,0.0,3.928,16.397428571428538,19.06635111791479,0.0,55.672,64.96357142857143,149.77778458909486,0.0,576.726,168.3686,383.67519821674904,0.0,2043.4,334.942625,0.0,55,0.8402480696078469,0.5422021592729844,0.43388373911755823,-0.900968867902419
2014-02-28,0.0,0.0,0,0,0,0,0.0,2014,2,4,28,9,1,0,Friday,February,59,19.456,8.85,576.726,0.0,15.133142857142825,19.92434660933085,0.0,55.672,23.768857142857144,28.00469927284286,0.0,95.59,168.3686,383.67519821674904,0.0,2043.4,329.06643859649125,-1.0,56,0.8494504794814806,0.527668345562516,-0.433883739117558,-0.9009688679024191
2014-03-01,2203.151,-208.96140000000003,40,5,5,10,220.31509999999997,2014,3,5,1,9,1,1,Saturday,March,60,0.0,19.44,21.36,240.5,327.09185714285707,827.5020438799382,0.0,2203.151,179.61107142857142,583.0873402594506,0.0,2203.151,233.7903,534.2003235785141,0.0,2203.151,361.3782413793104,0.0,57,0.8584015232918917,0.512978386299228,-0.9749279121818236,-0.2225209339563146
2014-03-02,202.384,56.0112,11,2,2,4,50.596,2014,3,6,2,9,1,1,Sunday,March,61,2203.151,11.364,9.04,290.666,354.3804285714285,818.4551609277596,0.0,2203.151,193.42135714285715,581.0226384314,0.0,2203.151,230.84756666666667,534.1193624080203,0.0,2203.151,358.6834237288136,-0.9081388429572008,58,0.8670985522812081,0.4981366284784055,-0.7818314824680299,0.6234898018587334
2014-03-03,1345.8919999999998,-629.7988999999999,35,5,5,9,149.54355555555554,2014,3,0,3,10,1,0,Monday,March,62,202.384,55.672,54.208,468.9,538.6975714285713,882.729848218554,0.0,2203.151,285.68449999999996,655.0553929148925,0.0,2203.151,260.0806333333333,570.3670707766864,0.0,2203.151,375.1369,5.650189738319234,59,0.8755389928586302,0.4831474640149687,0.0,1.0
2014-03-04,370.452,20.0778,8,2,2,2,185.226,2014,3,1,4,10,1,0,Tuesday,March,63,1345.8919999999998,0.0,37.784,211.64600000000002,591.6192857142856,855.7431909902859,0.0,2203.151,309.44649999999996,651.3946219381621,0.0,2203.151,265.37416666666667,570.6389204181619,0.0,2203.151,375.06009836065573,-0.724753546346958,60,0.8837203473619977,0.4680153284438345,0.7818314824680298,0.6234898018587336
2014-03-05,705.562,261.19010000000003,16,1,1,5,141.1124,2014,3,2,5,10,1,0,Wednesday,March,64,370.452,0.0,0.0,97.11200000000001,692.413857142857,815.0287517485555,0.0,2203.151,359.8437857142857,652.9039473851448,0.0,2203.151,285.6558333333333,575.2464940678775,0.0,2203.151,380.3907741935484,0.9045976266830791,61,0.8916401947968874,0.45274469960737107,0.9749279121818236,-0.22252093395631434
2014-03-06,0.0,0.0,0,0,0,0,0.0,2014,3,3,6,10,1,0,Thursday,March,65,705.562,19.456,95.59,134.38400000000001,689.6344285714284,817.7348584730576,0.0,2203.151,353.0159285714285,656.3706241160801,0.0,2203.151,281.17636666666664,576.9856705951811,0.0,2203.151,374.3528253968254,-1.0,62,0.8992961915530253,0.4373400963303323,0.43388373911755823,-0.900968867902419
2014-03-07,1561.062,134.1539,27,3,3,8,195.13275,2014,3,4,7,10,1,0,Friday,March,66,0.0,0.0,8.85,0.0,912.6432857142855,811.1515998050162,0.0,2203.151,463.88821428571424,721.6177862480702,0.0,2203.151,333.2117666666666,619.5737705579747,0.0,2203.151,392.89515625,0.0,63,0.9066860720977985,0.4218060770826634,-0.433883739117558,-0.9009688679024191
2014-03-08,0.0,0.0,0,0,0,0,0.0,2014,3,5,8,10,1,1,Saturday,March,67,1561.062,2203.151,19.44,330.512,597.9074285714285,635.3343601503213,0.0,1561.062,462.49964285714276,722.5568941627316,0.0,2203.151,322.1947,622.5547913210278,0.0,2203.151,386.8506153846154,-1.0,64,0.9138076496466615,0.4061472386305789,-0.9749279121818236,-0.2225209339563146
2014-03-09,0.0,0.0,0,0,0,0,0.0,2014,3,6,9,10,1,1,Sunday,March,68,0.0,202.384,11.364,180.32,568.9954285714285,660.4419832594065,0.0,1561.062,461.68792857142853,723.1088531735157,0.0,2203.151,316.18403333333333,624.8380956778946,0.0,2203.151,380.98924242424243,,65,0.9206588168102428,0.3903682146763026,-0.7818314824680299,0.6234898018587334
2014-03-10,741.956,4.188600000000001,9,2,2,3,247.31866666666667,2014,3,0,10,11,1,0,Monday,March,69,0.0,1345.8919999999998,55.672,14.56,482.7188571428571,576.0994168600376,0.0,1561.062,510.70821428571423,716.7009244201115,0.0,2203.151,340.43056666666666,626.8400391909751,0.0,2203.151,386.37680597014923,0.0,66,0.9272375462179537,0.374473674486883,0.0,1.0
2014-03-11,918.314,279.06100000000004,39,4,4,8,114.78925,2014,3,1,11,11,1,0,Tuesday,March,70,741.956,370.452,0.0,0.0,560.9848571428571,595.2035425822627,0.0,1561.062,576.3020714285714,708.3386106246146,0.0,2203.151,371.0410333333333,632.0429622828999,0.0,2203.151,394.1994117647059,0.23769334030589406,67,0.9335418911179212,0.35846832151248087,0.7818314824680298,0.6234898018587336
2014-03-12,0.0,0.0,0,0,0,0,0.0,2014,3,2,12,11,1,0,Wednesday,March,71,918.314,705.562,0.0,0.0,460.1902857142856,625.6047984304766,0.0,1561.062,576.3020714285714,708.3386106246146,0.0,2203.151,371.0410333333333,632.0429622828999,0.0,2203.151,388.4863768115942,-1.0,68,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
2014-03-13,0.0,0.0,0,0,0,0,0.0,2014,3,3,13,11,1,0,Thursday,March,72,0.0,0.0,19.456,2043.4,460.1902857142856,625.6047984304766,0.0,1561.062,574.9123571428571,709.5332228849312,0.0,2203.151,302.92769999999996,550.4410466307369,0.0,2203.151,382.9365714285714,,69,0.945320046913132,0.3261441535642696,0.43388373911755823,-0.900968867902419
2014-03-14,2108.55,528.5024,38,5,5,11,191.68636363636367,2014,3,4,14,11,1,0,Friday,March,73,0.0,1561.062,0.0,129.568,538.4028571428571,796.9356890589157,0.0,2108.55,725.5230714285715,796.5616546948671,0.0,2203.151,368.8937666666667,640.2113787457733,0.0,2203.151,407.24098591549296,0.0,70,0.9507903724625832,0.3098349038318025,-0.433883739117558,-0.9009688679024191
2014-03-15,370.78200000000004,33.598,14,1,1,5,74.1564,2014,3,5,15,11,1,1,Saturday,March,74,2108.55,0.0,2203.151,0.0,591.3717142857142,766.9439539883194,0.0,2108.55,594.6395714285715,676.6015854676518,0.0,2108.55,381.25316666666663,636.4119785300691,0.0,2203.151,406.7346111111111,-0.824153090986697,71,0.9559793438440766,0.2934339689665273,-0.9749279121818236,-0.2225209339563146
2014-03-16,471.92,29.495,2,1,1,1,471.92,2014,3,6,16,11,1,1,Sunday,March,75,370.78200000000004,0.0,202.384,576.726,658.7888571428572,725.9420179884493,0.0,2108.55,613.8921428571429,668.3661231660217,0.0,2108.55,377.7596333333333,635.5890748209547,0.0,2203.151,407.62756164383563,0.272769444039894,72,0.9608854255574977,0.27694620226893646,-0.7818314824680299,0.6234898018587334
